run_id,cell_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,unresolved_labels,review_coverage_complete,classification,exclusion_reasons
20260725T170041Z,prompt_grounded_two_hop_factual|medium|visible_cot,prompt_grounded_two_hop_factual,medium,visible_cot,10,2,,,,0.2,0.0,8,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|easy|r1_style_thinking,synthetic_relation,easy,r1_style_thinking,10,2,,,,0.3,0.0,8,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|easy|visible_cot,synthetic_relation,easy,visible_cot,10,3,,,,0.4,0.0,7,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|hard|r1_style_thinking,synthetic_relation,hard,r1_style_thinking,10,0,,,,0.0,0.1,10,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|hard|visible_cot,synthetic_relation,hard,visible_cot,10,4,,,,0.3,0.0,6,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|medium|r1_style_thinking,synthetic_relation,medium,r1_style_thinking,10,5,,,,0.1,0.0,5,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|medium|visible_cot,synthetic_relation,medium,visible_cot,10,4,,,,0.4,0.1,6,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|easy|r1_style_thinking,wrong_cot_error_detection,easy,r1_style_thinking,10,0,,,,0.2,0.5,10,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|easy|visible_cot,wrong_cot_error_detection,easy,visible_cot,10,2,,,,0.3,0.4,8,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|hard|r1_style_thinking,wrong_cot_error_detection,hard,r1_style_thinking,10,2,,,,0.4,0.3,8,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|hard|visible_cot,wrong_cot_error_detection,hard,visible_cot,10,3,,,,0.1,0.2,7,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|medium|r1_style_thinking,wrong_cot_error_detection,medium,r1_style_thinking,10,1,,,,0.0,0.3,9,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|medium|visible_cot,wrong_cot_error_detection,medium,visible_cot,10,5,,,,0.2,0.2,5,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
