run_id,cell_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,unresolved_labels,review_coverage_complete,classification,exclusion_reasons
p10c-trackb-plan-d778736ff8a2,prompt_grounded_two_hop_factual|easy|r1_style_thinking,prompt_grounded_two_hop_factual,easy,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,prompt_grounded_two_hop_factual|easy|visible_cot,prompt_grounded_two_hop_factual,easy,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,prompt_grounded_two_hop_factual|hard|r1_style_thinking,prompt_grounded_two_hop_factual,hard,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,prompt_grounded_two_hop_factual|hard|visible_cot,prompt_grounded_two_hop_factual,hard,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,prompt_grounded_two_hop_factual|medium|r1_style_thinking,prompt_grounded_two_hop_factual,medium,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,prompt_grounded_two_hop_factual|medium|visible_cot,prompt_grounded_two_hop_factual,medium,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,synthetic_relation|easy|r1_style_thinking,synthetic_relation,easy,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,synthetic_relation|easy|visible_cot,synthetic_relation,easy,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,synthetic_relation|hard|r1_style_thinking,synthetic_relation,hard,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,synthetic_relation|hard|visible_cot,synthetic_relation,hard,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,synthetic_relation|medium|r1_style_thinking,synthetic_relation,medium,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,synthetic_relation|medium|visible_cot,synthetic_relation,medium,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,wrong_cot_error_detection|easy|r1_style_thinking,wrong_cot_error_detection,easy,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,wrong_cot_error_detection|easy|visible_cot,wrong_cot_error_detection,easy,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,wrong_cot_error_detection|hard|r1_style_thinking,wrong_cot_error_detection,hard,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,wrong_cot_error_detection|hard|visible_cot,wrong_cot_error_detection,hard,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,wrong_cot_error_detection|medium|r1_style_thinking,wrong_cot_error_detection,medium,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,wrong_cot_error_detection|medium|visible_cot,wrong_cot_error_detection,medium,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
